date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:26	109/109	---M-Z	200	added ('OK')	text/plain	etag:W/%22613f13a4-6d%22	https://www.zoomcar.com/robots.txt		(from )
17:04:26	46258/46258	---M-Z	200	added ('OK')	text/html	etag:%225a3a704a470d81bba7d15d983fddb366%22	https://www.zoomcar.com/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/index.html	(from )
17:04:26	10603/10603	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f0c7a9744cfeb3fb5c90eafda61dd2ce%22	https://www.zoomcar.com/build/img/logo.f0c7a9744cfeb3fb5c90eafda61dd2ce.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/logo.f0c7a9744cfeb3fb5c90eafda61dd2ce.svg	(from https://www.zoomcar.com/)
17:04:26	444/444	---M--	200	added ('OK')	image/png	etag:%22d917d618529f3ffdf883e3b847e516df%22	https://www.zoomcar.com/build/img/favicon.d917d618529f3ffdf883e3b847e516df.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/favicon.d917d618529f3ffdf883e3b847e516df.png	(from https://www.zoomcar.com/)
17:04:27	59355/59355	---M-Z	200	added ('OK')	text/css	etag:%22b5f99cfa1fcb7ba6bf0f64e324069da6%22	https://www.zoomcar.com/build/app.b5f99cfa1fcb7ba6bf0f64e324069da6.css	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/app.b5f99cfa1fcb7ba6bf0f64e324069da6.css	(from https://www.zoomcar.com/)
17:04:27	66885/66885	---M-Z	200	added ('OK')	application/javascript	etag:%22f7d83956a592f3fca965de7f2ef1059b%22	https://www.zoomcar.com/build/vendor.63d51672afe516c8ab60.js	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/vendor.63d51672afe516c8ab60.js	(from https://www.zoomcar.com/)
17:04:27	66200/66200	---M-Z	200	added ('OK')	application/javascript	etag:%22c2b4a573a0604ae0917ab13f8391c84d%22	https://www.zoomcar.com/build/app.24de8fb02f7f4f7133cf.js	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/app.24de8fb02f7f4f7133cf.js	(from https://www.zoomcar.com/)
17:04:27	7142/7142	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Sep%202021%2011:04:26%20GMT	https://www.zoomcar.com/ak.m	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/ak.m	(from https://www.zoomcar.com/)
17:04:28	7142/7142	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Sep%202021%2011:04:27%20GMT	https://www.zoomcar.com/ak.t	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/ak.t	(from https://www.zoomcar.com/)
17:04:28	86921/86921	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Sep%202021%2011:04:27%20GMT	https://www.zoomcar.com/blog/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/blog/index.html	(from https://www.zoomcar.com/)
17:04:28	33197/33197	---M--	200	added ('OK')	image/jpeg	etag:%2259b15d84c75cf310e76cc40155b90dc6%22	https://www.zoomcar.com/build/img/intro_bg.59b15d84c75cf310e76cc40155b90dc6.jpg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/intro_bg.59b15d84c75cf310e76cc40155b90dc6.jpg	(from https://www.zoomcar.com/)
17:04:28	29171/29171	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f8af0af350b2f675a31a558fad8391df%22	https://www.zoomcar.com/build/img/color-logo.f8af0af350b2f675a31a558fad8391df.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/color-logo.f8af0af350b2f675a31a558fad8391df.svg	(from https://www.zoomcar.com/)
17:04:29	19694/19694	---M-Z	200	added ('OK')	text/html	etag:W/%22ea754b6db49ea8f5adc6c4baf4baa285%22	https://www.zoomcar.com/search	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/search.html	(from https://www.zoomcar.com/)
17:04:29	39336/39336	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ae2a3344a7d5e65b0bd8f7c828e1bf3d%22	https://www.zoomcar.com/build/img/advantages_sprite.ae2a3344a7d5e65b0bd8f7c828e1bf3d.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/advantages_sprite.ae2a3344a7d5e65b0bd8f7c828e1bf3d.svg	(from https://www.zoomcar.com/)
17:04:29	7152/7152	---M-Z	200	added ('OK')	image/svg+xml	etag:%2203d80d443b6753b6827f98ccf6ab30da%22	https://www.zoomcar.com/build/img/supermiler_logo.03d80d443b6753b6827f98ccf6ab30da.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/supermiler_logo.03d80d443b6753b6827f98ccf6ab30da.svg	(from https://www.zoomcar.com/)
17:04:29	10712/10712	---M-Z	200	added ('OK')	image/svg+xml	etag:%22099c3b4c889e2f09691cb1d98215897e%22	https://www.zoomcar.com/build/img/supermilers_sprite.099c3b4c889e2f09691cb1d98215897e.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/supermilers_sprite.099c3b4c889e2f09691cb1d98215897e.svg	(from https://www.zoomcar.com/)
17:04:29	142731/142731	---M-Z	200	added ('OK')	text/html	etag:W/%22014002047a469955aa5f1fd154f422d6%22	https://www.zoomcar.com/loyalty	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/loyalty.html	(from https://www.zoomcar.com/)
17:04:30	16049/16049	---M--	200	added ('OK')	image/jpeg	etag:%229876fe054a2220e5a5cc8c5746991926%22	https://www.zoomcar.com/build/img/car_bg.9876fe054a2220e5a5cc8c5746991926.jpg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/car_bg.9876fe054a2220e5a5cc8c5746991926.jpg	(from https://www.zoomcar.com/)
